algorithm,noise_level,problem,circuit_depth,relative_performance
QAOA,0.0,Max-cut,2,0.999936086754317
QAOA,0.0,Max-cut,4,1.1052585725347153
QAOA,0.0,Max-cut,6,1.0827480810453785
QAOA,0.0,Max-cut,8,1.075071018503572
QAOA,0.0,Max-cut,10,1.0660781605425163
QAOA,0.0,Max-cut,12,1.0534766689791466
QAOA,0.0,Max-cut,14,1.0491034983879828
QAOA,0.0,Max-cut,16,1.0383607685691223
QAOA,0.0,Max-cut,18,1.0387441707668317
QAOA,0.0,Partition,14,1.0341685403346086
QAOA,0.0,Partition,30,1.0126411843975551
QAOA,0.25,Max-cut,2,0.9962181769155177
QAOA,0.25,Max-cut,4,1.096514535328256
QAOA,0.25,Max-cut,6,1.0701261953332661
QAOA,0.25,Max-cut,8,1.0575863896460604
QAOA,0.25,Max-cut,10,1.0507198040971535
QAOA,0.25,Max-cut,12,1.0442536288266129
QAOA,0.25,Max-cut,14,1.040816622106113
QAOA,0.25,Max-cut,16,1.0369703544541644
QAOA,0.25,Max-cut,18,1.0251481384572183
QAOA,0.25,Partition,14,1.0176726630994697
QAOA,0.25,Partition,30,0.9934935010234173
QAOA,0.5,Max-cut,2,0.9928243229959297
QAOA,0.5,Max-cut,4,1.0816607150244575
QAOA,0.5,Max-cut,6,1.059365753411447
QAOA,0.5,Max-cut,8,1.0446975544579329
QAOA,0.5,Max-cut,10,1.0437744641219748
QAOA,0.5,Max-cut,12,1.028506877372603
QAOA,0.5,Max-cut,14,1.030771753194835
QAOA,0.5,Max-cut,16,1.022494472439937
QAOA,0.5,Max-cut,18,1.0068344758270125
QAOA,0.5,Partition,14,1.0087350546519263
QAOA,0.5,Partition,30,0.9792892791191409
QAOA,1.0,Max-cut,2,0.985335063345731
QAOA,1.0,Max-cut,4,1.0657791772309535
QAOA,1.0,Max-cut,6,1.0378091922815624
QAOA,1.0,Max-cut,8,1.0308024392397837
QAOA,1.0,Max-cut,10,1.0215610009178444
QAOA,1.0,Max-cut,12,1.0094113397076976
QAOA,1.0,Max-cut,14,1.0115610445906438
QAOA,1.0,Max-cut,16,1.0119384762695303
QAOA,1.0,Max-cut,18,1.003503979598369
QAOA,1.0,Partition,14,0.9912901843735827
QAOA,1.0,Partition,30,0.9492394219667092
QAOA,2.0,Max-cut,2,0.972059634593902
QAOA,2.0,Max-cut,4,1.0372532685460365
QAOA,2.0,Max-cut,6,1.0120238440864577
QAOA,2.0,Max-cut,8,0.9993533814006341
QAOA,2.0,Max-cut,10,0.9896667333897592
QAOA,2.0,Max-cut,12,0.9551660772968378
QAOA,2.0,Max-cut,14,0.9455051267776899
QAOA,2.0,Max-cut,16,0.9440650413942889
QAOA,2.0,Max-cut,18,0.9462580035785235
QAOA,2.0,Partition,14,0.9384471320817346
QAOA,2.0,Partition,30,0.921085330750533
QAOA,4.0,Max-cut,2,0.9483745405365531
QAOA,4.0,Max-cut,4,0.9866967255870088
QAOA,4.0,Max-cut,6,0.9232261240838474
QAOA,4.0,Max-cut,8,0.9170131447680817
QAOA,4.0,Max-cut,10,0.9675658045737225
QAOA,4.0,Max-cut,12,0.9762568579737155
QAOA,4.0,Max-cut,14,0.9672477629577163
QAOA,4.0,Max-cut,16,0.9570049257468687
QAOA,4.0,Max-cut,18,0.942950776633144
QAOA,4.0,Partition,14,0.9584663499110694
QAOA,4.0,Partition,30,0.8871569781466125
WSQAOA,0.0,Max-cut,2,1.0003439303080917
WSQAOA,0.0,Max-cut,4,0.9874714235392931
WSQAOA,0.0,Max-cut,6,0.9899013633636549
WSQAOA,0.0,Max-cut,8,0.9867186732248916
WSQAOA,0.0,Max-cut,10,0.9921709851478454
WSQAOA,0.0,Max-cut,12,0.9877457438699476
WSQAOA,0.0,Max-cut,14,0.9909518863802395
WSQAOA,0.0,Max-cut,16,0.9899204594192341
WSQAOA,0.0,Max-cut,18,0.9773906861456952
WSQAOA,0.0,Partition,14,1.0039706152281789
WSQAOA,0.0,Partition,30,1.0032859502397953
WSQAOA,0.25,Max-cut,2,0.9944125340591916
WSQAOA,0.25,Max-cut,4,0.9803249027181323
WSQAOA,0.25,Max-cut,6,0.9716937091931719
WSQAOA,0.25,Max-cut,8,0.96587948972863
WSQAOA,0.25,Max-cut,10,0.9711202194811088
WSQAOA,0.25,Max-cut,12,0.9701856613036546
WSQAOA,0.25,Max-cut,14,0.9690900017565859
WSQAOA,0.25,Max-cut,16,0.9801700383248069
WSQAOA,0.25,Max-cut,18,0.9938464322483028
WSQAOA,0.25,Partition,14,0.981986477990525
WSQAOA,0.25,Partition,30,0.9764306388811597
WSQAOA,0.5,Max-cut,2,0.9935246683174327
WSQAOA,0.5,Max-cut,4,0.9715662906618318
WSQAOA,0.5,Max-cut,6,0.9696195797188024
WSQAOA,0.5,Max-cut,8,0.9668840329146282
WSQAOA,0.5,Max-cut,10,0.9664429748887126
WSQAOA,0.5,Max-cut,12,0.9668299162281614
WSQAOA,0.5,Max-cut,14,0.9571117647042001
WSQAOA,0.5,Max-cut,16,0.9689093801795514
WSQAOA,0.5,Max-cut,18,0.9619304080329399
WSQAOA,0.5,Partition,14,0.9666665080710836
WSQAOA,0.5,Partition,30,0.9654335666377643
WSQAOA,1.0,Max-cut,2,0.9861075640166592
WSQAOA,1.0,Max-cut,4,0.9585863665648279
WSQAOA,1.0,Max-cut,6,0.9513307756892794
WSQAOA,1.0,Max-cut,8,0.9455547423759587
WSQAOA,1.0,Max-cut,10,0.9445895977893021
WSQAOA,1.0,Max-cut,12,0.9374076485823383
WSQAOA,1.0,Max-cut,14,0.934740241216096
WSQAOA,1.0,Max-cut,16,0.9385280733050114
WSQAOA,1.0,Max-cut,18,0.93155682592891
WSQAOA,1.0,Partition,14,0.9489728466115583
WSQAOA,1.0,Partition,30,0.9332195506768806
WSQAOA,2.0,Max-cut,2,0.9716719244575147
WSQAOA,2.0,Max-cut,4,0.9291627515695611
WSQAOA,2.0,Max-cut,6,0.9183396272902768
WSQAOA,2.0,Max-cut,8,0.9202789946041606
WSQAOA,2.0,Max-cut,10,0.906539331053496
WSQAOA,2.0,Max-cut,12,0.918099216745058
WSQAOA,2.0,Max-cut,14,0.9217013838303107
WSQAOA,2.0,Max-cut,16,0.9222979781741332
WSQAOA,2.0,Max-cut,18,0.9053277789448091
WSQAOA,2.0,Partition,14,0.9255495643493475
WSQAOA,2.0,Partition,30,0.9063661316032318
WSQAOA,4.0,Max-cut,2,0.9445828896296858
WSQAOA,4.0,Max-cut,4,0.8858776906265309
WSQAOA,4.0,Max-cut,6,0.8874120933283639
WSQAOA,4.0,Max-cut,8,0.8866000296680683
WSQAOA,4.0,Max-cut,10,0.9405933788585747
WSQAOA,4.0,Max-cut,12,0.9599580440065948
WSQAOA,4.0,Max-cut,14,0.9416319525604171
WSQAOA,4.0,Max-cut,16,0.933218099073211
WSQAOA,4.0,Max-cut,18,0.9207691471002886
WSQAOA,4.0,Partition,14,0.9413720762893142
WSQAOA,4.0,Partition,30,0.8782519316779966
WS-Init-QAOA,0.0,Max-cut,2,1.0001653650257964
WS-Init-QAOA,0.0,Max-cut,4,1.0394667557048287
WS-Init-QAOA,0.0,Max-cut,6,1.0433629420977213
WS-Init-QAOA,0.0,Max-cut,8,1.0435845587223624
WS-Init-QAOA,0.0,Max-cut,10,1.0417800035440816
WS-Init-QAOA,0.0,Max-cut,12,1.0397280483897346
WS-Init-QAOA,0.0,Max-cut,14,1.0417439620511917
WS-Init-QAOA,0.0,Max-cut,16,1.0419016021854781
WS-Init-QAOA,0.0,Max-cut,18,1.0586344447332419
WS-Init-QAOA,0.0,Partition,14,1.014433824177522
WS-Init-QAOA,0.0,Partition,30,0.9926819075992768
WS-Init-QAOA,0.25,Max-cut,2,0.9964047377725848
WS-Init-QAOA,0.25,Max-cut,4,1.026338097508393
WS-Init-QAOA,0.25,Max-cut,6,1.0341406170044383
WS-Init-QAOA,0.25,Max-cut,8,1.0319277990528082
WS-Init-QAOA,0.25,Max-cut,10,1.0318167516927013
WS-Init-QAOA,0.25,Max-cut,12,1.025304175846164
WS-Init-QAOA,0.25,Max-cut,14,1.0262084334217836
WS-Init-QAOA,0.25,Max-cut,16,1.015695977655216
WS-Init-QAOA,0.25,Max-cut,18,1.0229134957945498
WS-Init-QAOA,0.25,Partition,14,1.0003278974398682
WS-Init-QAOA,0.25,Partition,30,0.9832874344932654
WS-Init-QAOA,0.5,Max-cut,2,0.9928174902765412
WS-Init-QAOA,0.5,Max-cut,4,1.021276145085257
WS-Init-QAOA,0.5,Max-cut,6,1.0228026649034394
WS-Init-QAOA,0.5,Max-cut,8,1.017626072975559
WS-Init-QAOA,0.5,Max-cut,10,1.017108992520363
WS-Init-QAOA,0.5,Max-cut,12,1.012371143346681
WS-Init-QAOA,0.5,Max-cut,14,1.0101788891534966
WS-Init-QAOA,0.5,Max-cut,16,1.0031556181565917
WS-Init-QAOA,0.5,Max-cut,18,0.9964233791615328
WS-Init-QAOA,0.5,Partition,14,0.9916384152613287
WS-Init-QAOA,0.5,Partition,30,0.9655987472313895
WS-Init-QAOA,1.0,Max-cut,2,0.985451300815599
WS-Init-QAOA,1.0,Max-cut,4,1.0037675966778203
WS-Init-QAOA,1.0,Max-cut,6,1.0029902876280183
WS-Init-QAOA,1.0,Max-cut,8,1.0000450142337791
WS-Init-QAOA,1.0,Max-cut,10,0.9995426706017738
WS-Init-QAOA,1.0,Max-cut,12,0.9898466267219754
WS-Init-QAOA,1.0,Max-cut,14,0.9896794638936595
WS-Init-QAOA,1.0,Max-cut,16,0.9871766546190137
WS-Init-QAOA,1.0,Max-cut,18,0.9787954063872061
WS-Init-QAOA,1.0,Partition,14,0.9751133999453735
WS-Init-QAOA,1.0,Partition,30,0.9423591734147414
WS-Init-QAOA,2.0,Max-cut,2,0.9717533026850563
WS-Init-QAOA,2.0,Max-cut,4,0.978618046173799
WS-Init-QAOA,2.0,Max-cut,6,0.9782099216938579
WS-Init-QAOA,2.0,Max-cut,8,0.9708140457543066
WS-Init-QAOA,2.0,Max-cut,10,0.964164917437715
WS-Init-QAOA,2.0,Max-cut,12,0.9397119028557958
WS-Init-QAOA,2.0,Max-cut,14,0.9333897442821945
WS-Init-QAOA,2.0,Max-cut,16,0.9353748035367557
WS-Init-QAOA,2.0,Max-cut,18,0.9380447999726659
WS-Init-QAOA,2.0,Partition,14,0.9280905189268062
WS-Init-QAOA,2.0,Partition,30,0.9156730119056405
WS-Init-QAOA,4.0,Max-cut,2,0.9481788778305034
WS-Init-QAOA,4.0,Max-cut,4,0.9373908571290074
WS-Init-QAOA,4.0,Max-cut,6,0.9103744716973192
WS-Init-QAOA,4.0,Max-cut,8,0.9036643368493797
WS-Init-QAOA,4.0,Max-cut,10,0.9680442388110078
WS-Init-QAOA,4.0,Max-cut,12,0.9633222694133345
WS-Init-QAOA,4.0,Max-cut,14,0.949814348269174
WS-Init-QAOA,4.0,Max-cut,16,0.936918717741166
WS-Init-QAOA,4.0,Max-cut,18,0.9308679672767554
WS-Init-QAOA,4.0,Partition,14,0.9409237882607338
WS-Init-QAOA,4.0,Partition,30,0.8782519316779966
RQAOA,0.0,Max-cut,2,1.0
RQAOA,0.0,Max-cut,4,1.001434251244823
RQAOA,0.0,Max-cut,6,1.0134571187372345
RQAOA,0.0,Max-cut,8,1.0093535506361389
RQAOA,0.0,Max-cut,10,1.0161291779802473
RQAOA,0.0,Max-cut,12,1.014132327077977
RQAOA,0.0,Max-cut,14,1.0150394631381254
RQAOA,0.0,Max-cut,16,1.0103795717557598
RQAOA,0.0,Max-cut,18,1.0109339802771171
RQAOA,0.0,Partition,14,1.0130227287568738
RQAOA,0.0,Partition,30,1.0141528390226382
RQAOA,0.25,Max-cut,2,1.0
RQAOA,0.25,Max-cut,4,1.012857664995823
RQAOA,0.25,Max-cut,6,1.0134690835688367
RQAOA,0.25,Max-cut,8,1.0153085306947822
RQAOA,0.25,Max-cut,10,1.0133246839118912
RQAOA,0.25,Max-cut,12,1.0142077858109966
RQAOA,0.25,Max-cut,14,1.0117242622437952
RQAOA,0.25,Max-cut,16,1.019460051456437
RQAOA,0.25,Max-cut,18,1.0108600770218228
RQAOA,0.25,Partition,14,1.0129603409431183
RQAOA,0.25,Partition,30,1.008190310737423
RQAOA,0.5,Max-cut,2,1.0
RQAOA,0.5,Max-cut,4,1.00171783625731
RQAOA,0.5,Max-cut,6,1.0120678956339229
RQAOA,0.5,Max-cut,8,1.0148569941758023
RQAOA,0.5,Max-cut,10,1.0140281705632095
RQAOA,0.5,Max-cut,12,1.009369215571851
RQAOA,0.5,Max-cut,14,1.0140279938428802
RQAOA,0.5,Max-cut,16,1.0178104748163677
RQAOA,0.5,Max-cut,18,1.0104530890721883
RQAOA,0.5,Partition,14,1.024461310389845
RQAOA,0.5,Partition,30,1.0028683030817493
RQAOA,1.0,Max-cut,2,1.0
RQAOA,1.0,Max-cut,4,1.0016081871345028
RQAOA,1.0,Max-cut,6,1.0083196974550732
RQAOA,1.0,Max-cut,8,1.0104847745768695
RQAOA,1.0,Max-cut,10,1.0125565258289608
RQAOA,1.0,Max-cut,12,1.0091614746357518
RQAOA,1.0,Max-cut,14,1.010322871281672
RQAOA,1.0,Max-cut,16,1.0003584938627108
RQAOA,1.0,Max-cut,18,1.0274960462523657
RQAOA,1.0,Partition,14,1.0191429556357183
RQAOA,1.0,Partition,30,1.003158553750679
RQAOA,2.0,Max-cut,2,1.0
RQAOA,2.0,Max-cut,4,1.006475389863548
RQAOA,2.0,Max-cut,6,1.009616403753483
RQAOA,2.0,Max-cut,8,0.9952344309135831
RQAOA,2.0,Max-cut,10,1.0042128638473689
RQAOA,2.0,Max-cut,12,0.9943565335889207
RQAOA,2.0,Max-cut,14,0.989395332964465
RQAOA,2.0,Max-cut,16,0.9876946805016
RQAOA,2.0,Max-cut,18,1.0114737247947736
RQAOA,2.0,Partition,14,0.9999873699861895
RQAOA,2.0,Partition,30,0.9938600943267631
RQAOA,4.0,Max-cut,2,0.9833333333333334
RQAOA,4.0,Max-cut,4,1.009113756613757
RQAOA,4.0,Max-cut,6,0.962778836198433
RQAOA,4.0,Max-cut,8,0.9642868982445683
RQAOA,4.0,Max-cut,10,0.9725456357956105
RQAOA,4.0,Max-cut,12,0.9715500929089126
RQAOA,4.0,Max-cut,14,0.9747030226585807
RQAOA,4.0,Max-cut,16,0.9752406482444548
RQAOA,4.0,Max-cut,18,0.981595636732623
RQAOA,4.0,Partition,14,0.9811565349122559
RQAOA,4.0,Partition,30,0.9774792109288599
